0.0,0.0002539046664452217,30497
0.25,0.02667050576429303,30493
0.5,0.05834808259672031,30401
0.75,0.09523459671865198,30713
1.0,0.1370573802311264,30493
1.25,0.1791565300973542,30497
1.5,0.2114615334990918,30753
1.75,0.2284816831648588,30561
2.0,0.2217347912104918,30561
2.25,0.1942060432815908,30493
2.5,0.1565215955171823,30713
2.75,0.1160633859116105,30497
3.0,0.07881327607989519,30713
3.25,0.04708477452255112,30673
3.5,0.02179063949451085,30657
3.75,-1.181340976692843e-05,30493
4.0,-0.02158487089069705,30673
4.25,-0.04657773842929144,30713
4.5,-0.07835554745117833,30401
4.75,-0.1152453117057018,30673
5.0,-0.1557094117625951,30673
5.25,-0.1939049423284936,30561
5.5,-0.2205532405367662,30497
5.75,-0.2273104845552852,30401
6.0,-0.2122453542082998,30713
6.25,-0.1787858319388326,30657
6.5,-0.1380735496562433,30493
6.75,-0.09683714747023223,30493
7.0,-0.05892936492982502,30401
7.25,-0.02735491482546638,30561
7.5,-0.0002082305937098041,30753
